,80001.txt,80002.txt,80003.txt,80004.txt,80005.txt,80006.txt,80007.txt
80001.txt,0.0,0.95435333,0.8816568,0.88250214,0.89146644,0.8884193,0.8782756
80002.txt,0.95435333,0.0,0.9491956,0.9466554,0.93454844,0.93480104,0.94580865
80003.txt,0.8816568,0.9491956,0.0,0.8746803,0.8864955,0.88860106,0.8803419
80004.txt,0.88250214,0.9466554,0.8746803,0.0,0.87903893,0.885763,0.87638533
80005.txt,0.89146644,0.93454844,0.8864955,0.87903893,0.0,0.87241095,0.88483846
80006.txt,0.8884193,0.93480104,0.88860106,0.885763,0.87241095,0.0,0.89145297
80007.txt,0.8782756,0.94580865,0.8803419,0.87638533,0.88483846,0.89145297,0.0
